mean_test_root_mean_squared_error,mean_test_mean_squared_error,mean_test_mean_absolute_error,mean_test_r2_error,params
2793.079284477517,7805025.094902814,1781.4686240321541,0.6185710217118326,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'distance'}"
2794.3596126736024,7812275.301465248,1779.583091046158,0.6182225656569001,"{'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'distance'}"
2797.100894415928,7827676.392875321,1787.0978554894166,0.6174724257538772,"{'metric': 'manhattan', 'n_neighbors': 30, 'weights': 'distance'}"
2797.4511657508233,7829685.697192945,1777.4079550795404,0.6173795523993487,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}"
2797.932111532917,7832720.5736580305,1790.7247755209385,0.6172507884897183,"{'metric': 'manhattan', 'n_neighbors': 35, 'weights': 'distance'}"
2802.2862656566326,7857504.518495988,1794.0236735708722,0.6160610318050924,"{'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'distance'}"
2807.158638635137,7884716.348011141,1797.8243965443482,0.6147232546716047,"{'metric': 'manhattan', 'n_neighbors': 45, 'weights': 'distance'}"
2807.327989184953,7885421.094359388,1795.2263404392763,0.6146716220392118,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}"
2813.988771260288,7923403.460634455,1802.7696761866484,0.6128496055877105,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'distance'}"
2814.0269515182736,7922883.973873545,1806.0905644379845,0.6128334248380042,"{'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'uniform'}"
2814.9373321755916,7928120.496774805,1809.7283139534882,0.6125831183527624,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'uniform'}"
2820.391751197833,7958917.934153073,1819.1652252906977,0.6110822303851237,"{'metric': 'manhattan', 'n_neighbors': 30, 'weights': 'uniform'}"
2820.890192889012,7962467.166453488,1824.0814161129567,0.610951041281025,"{'metric': 'manhattan', 'n_neighbors': 35, 'weights': 'uniform'}"
2821.1845381612097,7961719.769827906,1790.2870673073683,0.610830632992044,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}"
2823.7003791302322,7975864.041139777,1802.3121245155037,0.6101242880947509,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}"
2828.3102635012733,8004848.905581698,1830.1142926356588,0.6089040366871432,"{'metric': 'manhattan', 'n_neighbors': 40, 'weights': 'uniform'}"
2834.335115534813,8038659.008151975,1835.3251399655467,0.6072339446525344,"{'metric': 'manhattan', 'n_neighbors': 45, 'weights': 'uniform'}"
2843.5866156639418,8091716.817286289,1842.561703003876,0.6046683455940057,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'uniform'}"
2862.3914253566386,8198578.85028115,1853.6358490617706,0.5994200777592992,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}"
2863.62601584024,8205684.377623585,1851.7042900994381,0.5990729726950977,"{'metric': 'euclidean', 'n_neighbors': 20, 'weights': 'distance'}"
2863.7930794416097,8205703.350059419,1857.4984481613312,0.5990200931537327,"{'metric': 'euclidean', 'n_neighbors': 30, 'weights': 'distance'}"
2868.8198364418404,8234481.278205219,1863.556855129732,0.5976105777266543,"{'metric': 'euclidean', 'n_neighbors': 35, 'weights': 'distance'}"
2871.711389426511,8251430.86819233,1849.5655316937227,0.5968016553926002,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}"
2873.7676244990594,8263197.140661433,1868.4634790689988,0.5962243836753398,"{'metric': 'euclidean', 'n_neighbors': 40, 'weights': 'distance'}"
2876.018734828038,8277763.722653222,1875.4326913759687,0.5955895791555905,"{'metric': 'euclidean', 'n_neighbors': 20, 'weights': 'uniform'}"
2877.0015436020026,8282273.440687984,1866.6258559431524,0.595315274547344,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}"
2877.0483521329515,8282133.506401463,1871.6409889691306,0.5953025115416367,"{'metric': 'euclidean', 'n_neighbors': 45, 'weights': 'distance'}"
2878.289542406647,8290954.44118527,1880.3939631782948,0.5949580329799367,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}"
2880.4692966650405,8302028.506532084,1885.228278423773,0.5943390429722296,"{'metric': 'euclidean', 'n_neighbors': 30, 'weights': 'uniform'}"
2884.2731486188786,8323495.524240988,1877.1214027689796,0.5932640401237871,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'distance'}"
2888.5383950737455,8348477.245313636,1893.7920888704318,0.5920633164285319,"{'metric': 'euclidean', 'n_neighbors': 35, 'weights': 'uniform'}"
2889.8615775884737,8356863.925552326,1869.6766472868214,0.5916712451605314,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}"
2889.9619552377935,8357270.8984500775,1859.3212681048565,0.5916568585947206,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
2894.8199030353912,8385265.027410596,1901.5713148013565,0.590291370724023,"{'metric': 'euclidean', 'n_neighbors': 40, 'weights': 'uniform'}"
2899.9500399504873,8411202.920988372,1844.427858527132,0.5887450938441406,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
2900.00748578817,8415501.176210523,1905.5410637381567,0.588822650321054,"{'metric': 'euclidean', 'n_neighbors': 45, 'weights': 'uniform'}"
2904.9346953833247,8440648.010617347,1838.9584259305932,0.5873536234751014,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
2911.1653487658273,8479740.409405766,1914.7494646317828,0.5856477478198239,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'uniform'}"
2919.47502666856,8528232.423745306,1919.0339104403456,0.5832790488757914,"{'metric': 'chebyshev', 'n_neighbors': 35, 'weights': 'distance'}"
2919.555652886351,8528384.092533065,1916.1860391396565,0.583252493531597,"{'metric': 'chebyshev', 'n_neighbors': 30, 'weights': 'distance'}"
2921.5515340502175,8540254.816941064,1921.0294632073858,0.5826845220286226,"{'metric': 'chebyshev', 'n_neighbors': 40, 'weights': 'distance'}"
2922.723489286303,8547108.514391595,1921.3772772814411,0.5823501225225306,"{'metric': 'chebyshev', 'n_neighbors': 25, 'weights': 'distance'}"
2922.961543134552,8548368.74334996,1922.5286987400323,0.5822799890990394,"{'metric': 'chebyshev', 'n_neighbors': 45, 'weights': 'distance'}"
2925.1957234989973,8561303.175568765,1922.5688705891428,0.5816402368615695,"{'metric': 'chebyshev', 'n_neighbors': 50, 'weights': 'distance'}"
2928.7322524923584,8581724.93784838,1923.2743281722808,0.5806215863683569,"{'metric': 'chebyshev', 'n_neighbors': 20, 'weights': 'distance'}"
2930.060672036901,8590822.343430502,1938.885925387597,0.5802562804123877,"{'metric': 'chebyshev', 'n_neighbors': 30, 'weights': 'uniform'}"
2931.6351389552824,8600795.042155622,1944.2725145348834,0.5798080866968566,"{'metric': 'chebyshev', 'n_neighbors': 25, 'weights': 'uniform'}"
2933.1542831483966,8609626.324486928,1945.1781388427464,0.5793719182361704,"{'metric': 'chebyshev', 'n_neighbors': 35, 'weights': 'uniform'}"
2934.885301073784,8619082.739507327,1943.4382328003876,0.5788611859714021,"{'metric': 'chebyshev', 'n_neighbors': 20, 'weights': 'uniform'}"
2937.161920547684,8632647.440686395,1948.8420815164727,0.5782182125907974,"{'metric': 'chebyshev', 'n_neighbors': 40, 'weights': 'uniform'}"
2937.9518507251487,8636061.080020996,1939.819840116279,0.5779744574490853,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}"
2941.833449267084,8658424.327753393,1928.2248968379897,0.5768598401121022,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'distance'}"
2942.5216987978674,8663930.92240292,1953.274636627907,0.5766760922623294,"{'metric': 'chebyshev', 'n_neighbors': 45, 'weights': 'uniform'}"
2948.081263683747,8696403.360418411,1954.5849709302329,0.5750740809102948,"{'metric': 'chebyshev', 'n_neighbors': 50, 'weights': 'uniform'}"
2950.2521821427713,8707119.935474807,1946.8451792635658,0.5744104794139984,"{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'uniform'}"
2955.3451915738246,8739394.861845931,1895.3633963178293,0.572954916393639,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
2963.466892188082,8787581.50975423,1891.5779988115037,0.5706198606678313,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}"
2967.904308589796,8811795.2169759,1945.1735383160858,0.5693126373569501,"{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'}"
3049.0297841887573,9299795.002756782,2005.6054021317832,0.5454080823764821,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}"
3069.2877039517753,9424312.342255259,2005.2248766297325,0.5393877552609017,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'distance'}"
